hotel_id,city_id,hotel_name,price_per_night,rating
7378,411,Jumeirah Beach Hotel,179.87,5.00
7379,411,برج العرب جميرا,401.32,5.00
7380,411,Maisan Hotel,325.95,4.00
7381,411,Hilton Dubai Jumeirah,297.11,5.00
7382,411,Holiday Inn Dubai - Al Barsha,141.50,2.10
7383,411,DoubleTree by Hilton Hotel and Residences Dubai Al Barsha,282.88,4.00
7384,411,Ivory Grand Hotel Apartments,433.18,4.60
7385,411,Golden Tulip Media Hotel,436.75,2.90
7386,411,Hilton Dubai The Walk,325.57,2.20
7387,411,Fairmont The Palm,241.00,5.00
7388,411,JW Marriott Marquis Hotel,363.00,5.00
7389,411,"Premier Inn, Dubai Investments Park",290.22,2.20
7390,411,Dusit D2 Kenz Hotel,160.58,2.20
7391,413,"The Starling Atlanta Midtown, Curio Collection by Hilton",399.01,3.00
7392,413,"Glenn Hotel, Autograph Collection",470.89,1.30
7393,413,Courtyard Atlanta Midtown,138.45,3.60
7394,413,Staybridge Suites Atlanta - Midtown,450.35,2.00
7395,413,"Twelve Downtown, Autograph Collection",409.66,4.60
7396,413,Hyatt Regency Atlanta,486.23,4.50
7397,413,"The Westin Peachtree Plaza, Atlanta",489.49,3.60
7398,413,"Inn At The Peachtrees, Ascend Hotel Collection",275.79,4.90
7399,413,Atlanta Marriott Marquis,449.58,1.30
7400,413,Hilton Atlanta,238.46,3.10
7401,413,Courtyard Atlanta Downtown,268.93,4.30
7402,413,"The Ritz-Carlton, Atlanta",325.62,3.50
7403,413,Hotel Indigo,125.50,4.30
7404,413,Aloft Atlanta Downtown,186.49,3.00
7405,413,Hyatt Place Atlanta/Downtown,118.67,4.10
7406,413,Residence Inn Atlanta Downtown,448.00,4.90
7407,413,"Ellis Hotel, Atlanta, a Tribute Portfolio Hotel",388.64,1.70
7408,413,Hotel Indigo Atlanta Downtown,280.23,1.10
7409,413,Home2 Suites,129.75,4.40
7410,413,W Atlanta - Downtown,494.70,4.90
7411,414,Ariya Hotel (Thimphu),434.47,3.60
7412,414,Thimphu Towers,209.46,4.20
7413,414,HOTEL LAVANYA,187.39,3.20
7414,414,Seven Suites Thimphu,488.20,3.50
7415,414,SilverPine Boutique,467.46,2.90
7416,414,The Willows Hotel,101.09,4.40
7417,414,Taj Tashi,396.41,4.10
